CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2017-6350,Overflow,"An integer overflow at an unserialize_uep memory allocation site would occur for vim before patch 8.0.0378, if it does not properly validate values for tree length when reading a corrupted undo file, which may lead to resultant buffer overflows.",9.8,0.84%,2017-02-27,2018-08-13
CVE-2017-6349,Overflow,"An integer overflow at a u_read_undo memory allocation site would occur for vim before patch 8.0.0377, if it does not properly validate values for tree length when reading a corrupted undo file, which may lead to resultant buffer overflows.",9.8,0.71%,2017-02-27,2018-08-13
CVE-2017-6344,XML external entity (XXE) injection,XML External Entity (XXE) vulnerability in Grails PDF Plugin 0.6 allows remote attackers to read arbitrary files via a crafted XML document.,5.9,0.33%,2017-02-27,2017-03-02
CVE-2017-6343,Gain privilege,"The web interface on Dahua DHI-HCVR7216A-S3 devices with NVR Firmware 3.210.0001.10 2016-06-06, Camera Firmware 2.400.0000.28.R 2016-03-29, and SmartPSS Software 1.16.1 2017-01-19 allows remote attackers to obtain login access by leveraging knowledge of the MD5 Admin Hash without knowledge of the corresponding password, a different vulnerability than CVE-2013-6117.",9.3,2.66%,2017-02-27,2019-10-03
CVE-2017-6342,N/A,"An issue was discovered on Dahua DHI-HCVR7216A-S3 devices with NVR Firmware 3.210.0001.10 2016-06-06, Camera Firmware 2.400.0000.28.R 2016-03-29, and SmartPSS Software 1.16.1 2017-01-19. When SmartPSS Software is launched, while on the login screen, the software in the background automatically logs in as admin. This allows sniffing sensitive information identified in CVE-2017-6341 without prior knowledge of the password. This is a different vulnerability than CVE-2013-6117.",10.0,0.35%,2017-02-27,2019-10-03
CVE-2017-6341,N/A,"Dahua DHI-HCVR7216A-S3 devices with NVR Firmware 3.210.0001.10 2016-06-06, Camera Firmware 2.400.0000.28.R 2016-03-29, and SmartPSS Software 1.16.1 2017-01-19 send cleartext passwords in response to requests from the Web Page, Mobile Application, and Desktop Application interfaces, which allows remote attackers to obtain sensitive information by sniffing the network, a different vulnerability than CVE-2013-6117.",5.9,0.43%,2017-02-27,2019-10-03
CVE-2017-6310,Memory Corruption,"An issue was discovered in tnef before 1.4.13. Four type confusions have been identified in the file_add_mapi_attrs() function. These might lead to invalid read and write operations, controlled by an attacker.",7.8,0.41%,2017-02-24,2019-03-13
CVE-2017-6309,Memory Corruption,"An issue was discovered in tnef before 1.4.13. Two type confusions have been identified in the parse_file() function. These might lead to invalid read and write operations, controlled by an attacker.",7.8,0.37%,2017-02-24,2019-03-13
CVE-2017-6308,Overflow,"An issue was discovered in tnef before 1.4.13. Several Integer Overflows, which can lead to Heap Overflows, have been identified in the functions that wrap memory allocation.",7.8,0.32%,2017-02-24,2019-03-13
CVE-2017-6307,Memory Corruption,"An issue was discovered in tnef before 1.4.13. Two OOB Writes have been identified in src/mapi_attr.c:mapi_attr_read(). These might lead to invalid read and write operations, controlled by an attacker.",7.8,0.37%,2017-02-24,2019-03-13
CVE-2017-6306,Directory traversal,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""9 of 9. Directory Traversal using the filename; SanitizeFilename function in settings.c.""",7.8,0.54%,2017-02-24,2019-05-18
CVE-2017-6305,Memory Corruption,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""8 of 9. Out of Bounds read and write.""",7.8,0.21%,2017-02-24,2019-05-18
CVE-2017-6304,N/A,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""7 of 9. Out of Bounds read.""",7.8,0.21%,2017-02-24,2019-05-18
CVE-2017-6303,Overflow,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""6 of 9. Invalid Write and Integer Overflow.""",7.8,0.21%,2017-02-24,2019-05-18
CVE-2017-6302,Overflow,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""5 of 9. Integer Overflow.""",7.8,0.33%,2017-02-24,2019-05-18
CVE-2017-6301,N/A,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""4 of 9. Out of Bounds Reads.""",7.8,0.21%,2017-02-24,2019-05-18
CVE-2017-6300,Overflow,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""3 of 9. Buffer Overflow in version field in lib/tnef-types.h.""",7.8,0.23%,2017-02-24,2019-05-18
CVE-2017-6299,Denial of service,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""2 of 9. Infinite Loop / DoS in the TNEFFillMapi function in lib/ytnef.c.""",5.5,0.20%,2017-02-24,2019-10-03
CVE-2017-6298,N/A,"An issue was discovered in ytnef before 1.9.1. This is related to a patch described as ""1 of 9. Null Pointer Deref / calloc return value not checked.""",7.8,0.46%,2017-02-24,2019-05-18
CVE-2017-6297,N/A,"The L2TP Client in MikroTik RouterOS versions 6.83.3 and 6.37.4 does not enable IPsec encryption after a reboot, which allows man-in-the-middle attackers to view transmitted data unencrypted and gain access to networks on the L2TP server by monitoring the packets for the transmitted data and obtaining the L2TP secret.",5.9,0.14%,2017-02-27,2019-10-03
