CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2017-5632,Denial of service,"An issue was discovered on the ASUS RT-N56U Wireless Router with Firmware 3.0.0.4.374_979. When executing an ""nmap -O"" command that specifies an IP address of an affected device, one can crash the device's WAN connection, causing disconnection from the Internet, a Denial of Service (DoS). The attack is only possible from within the local area network.",6.5,0.19%,2017-01-30,2017-03-09
CVE-2017-5628,Overflow,"An issue was discovered in Artifex Software, Inc. MuJS before 8f62ea10a0af68e56d5c00720523ebcba13c2e6a. The MakeDay function in jsdate.c does not validate the month, leading to an integer overflow when parsing a specially crafted JS file.",7.8,0.17%,2017-01-30,2020-04-22
CVE-2017-5627,Overflow,"An issue was discovered in Artifex Software, Inc. MuJS before 4006739a28367c708dea19aeb19b8a1a9326ce08. The jsR_setproperty function in jsrun.c lacks a check for a negative array length. This leads to an integer overflow in the js_pushstring function in jsrun.c when parsing a specially crafted JS file.",7.8,0.29%,2017-01-30,2020-04-22
CVE-2017-5612,Cross site scripting (XSS),Cross-site scripting (XSS) vulnerability in wp-admin/includes/class-wp-posts-list-table.php in the posts list table in WordPress before 4.7.2 allows remote attackers to inject arbitrary web script or HTML via a crafted excerpt.,6.1,1.75%,2017-01-30,2019-03-19
CVE-2017-5611,Sql Injection,SQL injection vulnerability in wp-includes/class-wp-query.php in WP_Query in WordPress before 4.7.2 allows remote attackers to execute arbitrary SQL commands by leveraging the presence of an affected plugin or theme that mishandles a crafted post type name.,9.8,8.84%,2017-01-30,2021-01-30
CVE-2017-5610,Information leak,"wp-admin/includes/class-wp-press-this.php in Press This in WordPress before 4.7.2 does not properly restrict visibility of a taxonomy-assignment user interface, which allows remote attackers to bypass intended access restrictions by reading terms.",5.3,2.90%,2017-01-30,2019-03-19
CVE-2017-5609,Sql Injection,SQL injection vulnerability in include/functions_entries.inc.php in Serendipity 2.0.5 allows remote authenticated users to execute arbitrary SQL commands via the cat parameter.,8.8,0.95%,2017-01-28,2019-03-19
CVE-2017-5608,Cross site scripting (XSS),Cross-site scripting (XSS) vulnerability in the image upload function in Piwigo before 2.8.6 allows remote attackers to inject arbitrary web script or HTML via a crafted image filename.,6.1,0.63%,2017-01-28,2017-02-03
CVE-2017-5601,N/A,An error in the lha_read_file_header_1() function (archive_read_support_format_lha.c) in libarchive 3.2.2 allows remote attackers to trigger an out-of-bounds read memory access and subsequently cause a crash via a specially crafted archive.,7.5,0.39%,2017-01-27,2018-11-30
CVE-2017-5599,Cross site scripting (XSS),An issue was discovered in eClinicalWorks Patient Portal 7.0 build 13. This is a reflected Cross Site Scripting vulnerability which affects the raceMasterList.jsp page within the Patient Portal. Inserted payload is rendered within the Patient Portal and the raceMasterList.jsp page does not require authentication. The vulnerability can be used to extract sensitive information or perform attacks against the user's browser. The vulnerability affects the raceMasterList.jsp page and the following parameter: race.,6.1,0.23%,2017-01-27,2017-02-01
CVE-2017-5598,Sql Injection,"An issue was discovered in eClinicalWorks healow@work 8.0 build 8. This is a blind SQL injection within the EmployeePortalServlet, which can be exploited by un-authenticated users via an HTTP POST request and which can be used to dump database data out to a malicious server, using an out-of-band technique, such as select_loadfile(). The vulnerability affects the EmployeePortalServlet page and the following parameter: employer.",7.5,0.29%,2017-01-27,2017-02-01
