CVE ID,CVE_type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2015-6754,Cross site scripting (XSS),"Cross-site scripting (XSS) vulnerability in the administration interface in the Path Breadcrumbs module 7.x-3.x before 7.x-3.3 for Drupal allows remote authenticated users with the ""Administer Path Breadcrumbs"" permission to inject arbitrary web script or HTML via unspecified vectors.",2.1,0.19%,2015-08-31,2015-09-01
CVE-2015-6753,Cross site scripting (XSS),"Multiple cross-site scripting (XSS) vulnerabilities in the Quick Edit module 7.x-1.x before 7.x-1.2 for Drupal allow remote authenticated users with certain permissions to inject arbitrary web script or HTML via an (1) entity title, related to in-place editing, or a (2) node title.",3.5,0.14%,2015-08-31,2015-09-01
CVE-2015-6752,Cross site scripting (XSS),"Cross-site scripting (XSS) vulnerability in the Search API Autocomplete module 7.x-1.x before 7.x-1.3 for Drupal, when the search index is configured to use the HTML filter processor, allows remote authenticated users with certain permissions to inject arbitrary web script or HTML via unspecified vectors, which are not properly handled in the returned suggestions.",2.1,0.14%,2015-08-31,2015-09-01
CVE-2015-6751,Cross site scripting (XSS),Multiple cross-site scripting (XSS) vulnerabilities in the Time Tracker module 7.x-1.x before 7.x-1.4 for Drupal allow remote authenticated users with certain permissions to inject arbitrary web script or HTML via a (1) note added to a time entry or an (2) activity used to categorize time tracker entries.,3.5,0.19%,2015-08-31,2015-09-11
CVE-2015-6750,Overflow,Buffer overflow in Ricoh DL FTP Server 1.1.0.6 and earlier allows remote attackers to execute arbitrary code via a long USER command.,7.5,14.09%,2015-08-31,2015-09-01
CVE-2015-6747,Information leak,"Basware Banking (Maksuliikenne) 8.90.07.X does not properly prevent access to private keys, which allows remote attackers to spoof communications with banks via unspecified vectors.  NOTE: this identifier was SPLIT from CVE-2015-0942 per ADT2 due to different vulnerability types.  NOTE: this vulnerability exists because of an incorrect fix for CVE-2015-6746.",5.0,0.25%,2015-08-31,2015-08-31
CVE-2015-6746,Information leak,"Basware Banking (Maksuliikenne) before 8.90.07.X stores private keys in plaintext in the SQL database, which allows remote attackers to spoof communications with banks via unspecified vectors.  NOTE: this identifier was SPLIT from CVE-2015-0942 per ADT2 due to different vulnerability types.",2.1,0.12%,2015-08-31,2015-08-31
CVE-2015-6745,N/A,"Basware Banking (Maksuliikenne) 8.90.07.X relies on the client to enforce account locking, which allows local users to bypass that security mechanism by deleting the entry from the locking table.  NOTE: this identifier was SPLIT from CVE-2015-0942 per ADT2 and ADT3 due to different vulnerability type and different affected versions.  NOTE: this vulnerability exists because of an incorrect fix for CVE-2015-6744.",4.6,0.05%,2015-08-31,2015-08-31
CVE-2015-6744,N/A,"Basware Banking (Maksuliikenne) before 8.90.07.X relies on the client to enforce (1) login verification, (2) audit trail creation, and (3) account locking, which allows remote attackers to ""disrupt security-critical functions"" by ""dropping network traffic."" NOTE: this identifier was SPLIT from CVE-2015-0942 per ADT2 and ADT3 due to different vulnerability type and different affected versions.",4.3,0.44%,2015-08-31,2015-08-31
CVE-2015-6743,N/A,"Basware Banking (Maksuliikenne) 8.90.07.X uses a hardcoded password for an unspecified account, which allows remote authenticated users to bypass intended access restrictions by leveraging knowledge of this password.  NOTE: this identifier was SPLIT from CVE-2015-0942 per ADT2 and ADT3 due to different vulnerability types and different affected versions.",6.5,0.19%,2015-08-31,2015-08-31
