CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2015-5151,Cross site scripting (XSS),Cross-site scripting (XSS) vulnerability in the Slider Revolution (revslider) plugin 4.2.2 for WordPress allows remote attackers to inject arbitrary web script or HTML via the client_action parameter in a revslider_ajax_action action to wp-admin/admin-ajax.php.,4.3,0.24%,2015-06-30,2016-11-28
CVE-2015-5150,Cross site scripting (XSS),"Multiple cross-site scripting (XSS) vulnerabilities in Zoho ManageEngine SupportCenter Plus 7.90 allow remote authenticated users to inject arbitrary web script or HTML via the (1) query parameter in the run_query_editor_query module to CustomReportHandler.do, (2) compAcct parameter to jsp/ResetADPwd.jsp, or (3) redirectTo parameter to jsp/CacheScreenWidth.jsp.",3.5,0.78%,2015-06-30,2015-07-01
CVE-2015-5149,Directory traversal,Directory traversal vulnerability in Zoho ManageEngine SupportCenter Plus 7.90 allows remote authenticated users to write to arbitrary files via a .. (dot dot) in the component parameter in the Request component to workorder/Attachment.jsp.,5.5,7.35%,2015-06-30,2016-12-07
CVE-2015-5148,Sql Injection,SQL injection vulnerability in LivelyCart 1.2.0 allows remote attackers to execute arbitrary SQL commands via the search_query parameter to product/search.,7.5,1.02%,2015-06-30,2015-07-01
CVE-2015-5078,N/A,SQL injection vulnerability in the insert function in application/controllers/admin/dataentry.php in LimeSurvey 2.06+ allows remote authenticated users to execute arbitrary SQL commands via the closedate parameter.,6.5,0.44%,2015-06-28,2016-12-07
CVE-2015-5068,N/A,"XML external entity (XXE) vulnerability in SAP Mobile Platform 3 allows remote attackers to read arbitrary files or possibly have other unspecified impact via a crafted XML request, aka SAP Security Note 2159601.",7.5,0.80%,2015-06-24,2018-12-10
CVE-2015-5067,N/A,"The (1) Cross-System Tools and (2) Data Transfer Workbench in SAP NetWeaver have hardcoded credentials, which allows remote attackers to obtain access via unspecified vectors, aka SAP Security Notes 2059659 and 2057982.",7.5,1.58%,2015-06-24,2018-12-10
CVE-2015-5066,N/A,Multiple cross-site scripting (XSS) vulnerabilities in the MetalGenix GeniXCMS 0.0.3 allow remote attackers to inject arbitrary web script or HTML via the (1) content or (2) title field in an add action in the posts page to index.php or the (3) q parameter in the posts page to index.php.,4.3,10.72%,2015-06-24,2018-10-09
CVE-2015-5065,N/A,Absolute path traversal vulnerability in proxy.php in the google currency lookup in the Paypal Currency Converter Basic For WooCommerce plugin before 1.4 for WordPress allows remote attackers to read arbitrary files via a full pathname in the requrl parameter.,5.0,26.38%,2015-06-24,2019-07-03
CVE-2015-5064,N/A,"Multiple cross-site scripting (XSS) vulnerabilities in MySql Lite Administrator (mysql-lite-administrator) beta-1 allow remote attackers to inject arbitrary web script or HTML via the table_name parameter to (1) tabella.php, (2) coloni.php, or (3) insert.php or (4) num_row parameter to coloni.php.",4.3,0.36%,2015-06-24,2018-10-09
