CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2018-1000141,Bypass,"I, Librarian version 4.9 and earlier contains an Incorrect Access Control vulnerability in ajaxdiscussion.php that can result in any users gaining unauthorized access (read, write and delete) to project discussions.",9.1,0.31%,2018-03-23,2019-10-03
CVE-2018-1000140,Execute code,rsyslog librelp version 1.2.14 and earlier contains a Buffer Overflow vulnerability in the checking of x509 certificates from a peer that can result in Remote code execution. This attack appear to be exploitable a remote attacker that can connect to rsyslog and trigger a stack buffer overflow by sending a specially crafted x509 certificate.,9.8,25.82%,2018-03-23,2023-06-12
CVE-2018-1000139,Cross site scripting (XSS),"I, Librarian version 4.8 and earlier contains a Cross Site Scripting (XSS) vulnerability in ""id"" parameter in stable.php that can result in an attacker using the XSS to send a malicious script to an unsuspecting user.",6.1,0.24%,2018-03-23,2018-04-13
CVE-2018-1000138,Server-side request forgery (SSRF),"I, Librarian version 4.8 and earlier contains a SSRF vulnerability in ""url"" parameter of getFromWeb in functions.php that can result in the attacker abusing functionality on the server to read or update internal resources.",9.1,0.29%,2018-03-23,2018-04-13
CVE-2018-1000137,N/A,"I, Librarian version 4.8 and earlier contains a Cross site Request Forgery (CSRF) vulnerability in users.php that can result in the password of the admin being forced to be changed without the administrator's knowledge.",8.8,0.12%,2018-03-23,2018-04-12
CVE-2018-1000136,N/A,"Electron version 1.7 up to 1.7.12; 1.8 up to 1.8.3 and 2.0.0 up to 2.0.0-beta.3 contains an improper handling of values vulnerability in Webviews that can result in remote code execution. This attack appear to be exploitable via an app which allows execution of 3rd party code AND disallows node integration AND has not specified if webview is enabled/disabled. This vulnerability appears to have been fixed in 1.7.13, 1.8.4, 2.0.0-beta.4.",8.1,1.86%,2018-03-23,2019-10-03
CVE-2018-1000135,N/A,"GNOME NetworkManager version 1.10.2 and earlier contains a Information Exposure (CWE-200) vulnerability in DNS resolver that can result in Private DNS queries leaked to local network's DNS servers, while on VPN. This vulnerability appears to have been fixed in Some Ubuntu 16.04 packages were fixed, but later updates removed the fix. cf. https://bugs.launchpad.net/ubuntu/+bug/1754671 an upstream fix does not appear to be available at this time.",7.5,1.55%,2018-03-20,2019-06-03
CVE-2018-1000134,N/A,"UnboundID LDAP SDK version from commit 801111d8b5c732266a5dbd4b3bb0b6c7b94d7afb up to commit 8471904a02438c03965d21367890276bc25fa5a6, where the issue was reported and fixed contains an Incorrect Access Control vulnerability in process function in SimpleBindRequest class doesn't check for empty password when running in synchronous mode. commit with applied fix https://github.com/pingidentity/ldapsdk/commit/8471904a02438c03965d21367890276bc25fa5a6#diff-f6cb23b459be1ec17df1da33760087fd that can result in Ability to impersonate any valid user. This attack appear to be exploitable via Providing valid username and empty password against servers that do not do additional validation as per https://tools.ietf.org/html/rfc4513#section-5.1.1. This vulnerability appears to have been fixed in after commit 8471904a02438c03965d21367890276bc25fa5a6.",9.8,1.60%,2018-03-16,2019-10-03
CVE-2018-1000133,N/A,"Pitchfork version 1.4.6 RC1 contains an Improper Privilege Management vulnerability in Trident Pitchfork components that can result in A standard unprivileged user could gain system administrator permissions within the web portal.. This attack appear to be exploitable via The user must be able to login, and could edit their profile and set the ""System Administrator"" permission to ""yes"" on themselves.. This vulnerability appears to have been fixed in 1.4.6 RC2.",7.5,0.58%,2018-03-16,2019-10-03
CVE-2018-1000132,N/A,Mercurial version 4.5 and earlier contains a Incorrect Access Control (CWE-285) vulnerability in Protocol server that can result in Unauthorized data access. This attack appear to be exploitable via network connectivity. This vulnerability appears to have been fixed in 4.5.1.,9.1,0.26%,2018-03-14,2020-07-31
