CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2021-33790,N/A,"The RebornCore library before 4.7.3 allows remote code execution because it deserializes untrusted data in ObjectInputStream.readObject as part of reborncore.common.network.ExtendedPacketBuffer. An attacker can instantiate any class on the classpath with any data. A class usable for exploitation might or might not be present, depending on what Minecraft modifications are installed.",9.8,5.43%,2021-05-31,2021-06-11
CVE-2021-33623,N/A,The trim-newlines package before 3.0.1 and 4.x before 4.0.1 for Node.js has an issue related to regular expression denial-of-service (ReDoS) for the .end() method.,7.5,1.55%,2021-05-28,2023-03-01
CVE-2021-33620,N/A,Squid before 4.15 and 5.x before 5.0.6 allows remote servers to cause a denial of service (affecting availability to all clients) via an HTTP response. The issue trigger is a header that can be expected to exist in HTTP traffic without any malicious intent by the server.,6.5,6.07%,2021-05-28,2023-10-24
CVE-2021-33591,N/A,An exposed remote debugging port in Naver Comic Viewer prior to 1.0.15.0 allowed a remote attacker to execute arbitrary code via a crafted HTML page.,8.8,0.86%,2021-05-28,2021-06-03
CVE-2021-33590,N/A,GattLib 0.3-rc1 has a stack-based buffer over-read in get_device_path_from_mac in dbus/gattlib.c.,9.8,0.43%,2021-05-27,2022-05-03
CVE-2021-33587,N/A,The css-what package 4.0.0 through 5.0.0 for Node.js does not ensure that attribute parsing has Linear Time Complexity relative to the size of the input.,7.5,0.25%,2021-05-28,2023-03-03
CVE-2021-33586,N/A,"InspIRCd 3.8.0 through 3.9.x before 3.10.0 allows any user (able to connect to the server) to access recently deallocated memory, aka the ""malformed PONG"" issue.",4.3,0.29%,2021-05-27,2022-06-03
CVE-2021-33575,N/A,The Pixar ruby-jss gem before 1.6.0 allows remote attackers to execute arbitrary code because of the Plist gem's documented behavior of using Marshal.load during XML document processing.,9.8,1.81%,2021-05-25,2021-06-01
CVE-2021-33574,N/A,"The mq_notify function in the GNU C Library (aka glibc) versions 2.32 and 2.33 has a use-after-free. It may use the notification thread attributes object (passed through its struct sigevent parameter) after it has been freed by the caller, leading to a denial of service (application crash) or possibly unspecified other impact.",9.8,0.12%,2021-05-25,2022-11-08
CVE-2021-33570,N/A,"Postbird 0.8.4 allows stored XSS via the onerror attribute of an IMG element in any PostgreSQL database table. This can result in reading local files via vectors involving XMLHttpRequest and open of a file:/// URL, or discovering PostgreSQL passwords via vectors involving Window.localStorage and savedConnections.",5.4,1.01%,2021-05-25,2022-06-03
