CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2021-41829,N/A,Zoho ManageEngine Remote Access Plus before 10.1.2121.1 relies on the application's build number to calculate a certain encryption key.,7.5,6.06%,2021-09-30,2022-07-12
CVE-2021-41828,N/A,Zoho ManageEngine Remote Access Plus before 10.1.2121.1 has hardcoded credentials associated with resetPWD.xml.,7.5,11.40%,2021-09-30,2021-10-05
CVE-2021-41827,N/A,Zoho ManageEngine Remote Access Plus before 10.1.2121.1 has hardcoded credentials for read-only access. The credentials are in the source code that corresponds to the DCBackupRestore JAR archive.,7.5,11.40%,2021-09-30,2021-10-05
CVE-2021-41826,N/A,PlaceOS Authentication Service before 1.29.10.0 allows app/controllers/auth/sessions_controller.rb open redirect.,6.1,27.43%,2021-09-30,2021-10-07
CVE-2021-41824,N/A,Craft CMS before 3.7.14 allows CSV injection.,8.8,0.48%,2021-09-30,2021-11-30
CVE-2021-41821,N/A,Wazuh Manager in Wazuh through 4.1.5 is affected by a remote Integer Underflow vulnerability that might lead to denial of service. A crafted message must be sent from an authenticated agent to the manager.,6.5,0.47%,2021-09-29,2021-10-12
CVE-2021-41795,N/A,"The Safari app extension bundled with 1Password for Mac 7.7.0 through 7.8.x before 7.8.7 is vulnerable to authorization bypass. By targeting a vulnerable component of this extension, a malicious web page could read a subset of 1Password vault items that would normally be fillable by the user on that web page. These items are usernames and passwords for vault items associated with its domain, usernames and passwords without a domain association, credit cards, and contact items. (1Password must be unlocked for these items to be accessible, but no further user interaction is required.)",6.5,0.34%,2021-09-29,2022-07-12
CVE-2021-41764,N/A,"A cross-site request forgery (CSRF) vulnerability exists in Streama up to and including v1.10.3. The application does not have CSRF checks in place when performing actions such as uploading local files. As a result, attackers could make a logged-in administrator upload arbitrary local files via a CSRF attack and send them to the attacker.",8.8,0.17%,2021-09-29,2021-10-03
CVE-2021-41753,N/A,"A denial-of-service attack in WPA2, and WPA3-SAE authentication methods in D-Link DIR-X1560, v1.04B04, and DIR-X6060, v1.11B04 allows a remote unauthenticated attacker to disconnect a wireless client via sending specific spoofed SAE authentication frames.",7.8,1.37%,2021-09-27,2022-07-12
CVE-2021-41732,N/A,An issue was discovered in zeek version 4.1.0. There is a HTTP request splitting vulnerability that will invalidate any ZEEK HTTP based security analysis. NOTE: the vendor's position is that the observed behavior is intended,8.2,0.25%,2021-09-29,2024-08-04
CVE-2021-41729,N/A,"BaiCloud-cms v2.5.7 is affected by an arbitrary file deletion vulnerability, which allows an attacker to delete arbitrary files on the server through /user/ppsave.php.",9.1,0.24%,2021-09-30,2021-10-08
CVE-2021-41617,N/A,"sshd in OpenSSH 6.2 through 8.x before 8.8, when certain non-default configurations are used, allows privilege escalation because supplemental groups are not initialized as expected. Helper programs for AuthorizedKeysCommand and AuthorizedPrincipalsCommand may run with privileges associated with group memberships of the sshd process, if the configuration specifies running the command as a different user.",7.0,0.37%,2021-09-26,2023-12-26
CVE-2021-41616,N/A,"Apache DB DdlUtils 1.0 included a BinaryObjectsHelper that was intended for use when migrating database data with a SQL data type of BINARY, VARBINARY, LONGVARBINARY, or BLOB between databases using the ddlutils features. The BinaryObjectsHelper class was insecure and used ObjectInputStream.readObject without validating that the input data was safe to deserialize. Please note that DdlUtils is no longer being actively developed. To address the insecurity of the BinaryObjectHelper class, the following changes to DdlUtils have been made: (1) BinaryObjectsHelper.java has been deleted from the DdlUtils source repository and the DdlUtils feature of propagating data of SQL binary types is therefore no longer present in DdlUtils; (2) The ddlutils-1.0 release has been removed from the Apache Release Distribution Infrastructure; (3) The DdlUtils web site has been updated to indicate that DdlUtils is now available only as source code, not as a packaged release.",9.8,2.42%,2021-09-30,2021-10-07
CVE-2021-41588,N/A,"In Gradle Enterprise before 2021.1.3, a crafted request can trigger deserialization of arbitrary unsafe Java objects. The attacker must have the encryption and signing keys.",8.1,0.19%,2021-09-24,2021-10-01
CVE-2021-41587,N/A,"In Gradle Enterprise before 2021.1.3, an attacker with the ability to perform SSRF attacks can potentially discover credentials for other resources.",7.5,0.28%,2021-09-24,2021-09-30
