CVE ID,CVE Type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2022-44081,N/A,Lodepng v20220717 was discovered to contain a segmentation fault via the function pngdetail.,5.5,0.02%,2022-10-31,2022-11-01
CVE-2022-44079,N/A,pycdc commit 44a730f3a889503014fec94ae6e62d8401cb75e5 was discovered to contain a stack overflow via the component __sanitizer::StackDepotBase<__sanitizer::StackDepotNode.,5.5,0.03%,2022-10-31,2023-03-02
CVE-2022-44034,N/A,"An issue was discovered in the Linux kernel through 6.0.6. drivers/char/pcmcia/scr24x_cs.c has a race condition and resultant use-after-free if a physically proximate attacker removes a PCMCIA device while calling open(), aka a race condition between scr24x_open() and scr24x_remove().",6.4,0.01%,2022-10-30,2024-03-25
CVE-2022-44033,N/A,"An issue was discovered in the Linux kernel through 6.0.6. drivers/char/pcmcia/cm4040_cs.c has a race condition and resultant use-after-free if a physically proximate attacker removes a PCMCIA device while calling open(), aka a race condition between cm4040_open() and reader_detach().",6.4,0.01%,2022-10-30,2024-03-25
CVE-2022-44032,N/A,"An issue was discovered in the Linux kernel through 6.0.6. drivers/char/pcmcia/cm4000_cs.c has a race condition and resultant use-after-free if a physically proximate attacker removes a PCMCIA device while calling open(), aka a race condition between cmm_open() and cm4000_detach().",6.4,0.01%,2022-10-30,2024-08-01
CVE-2022-44023,N/A,PwnDoc through 0.5.3 might allow remote attackers to identify disabled user account names by leveraging response messages for authentication attempts.,5.3,0.06%,2022-10-30,2024-05-02
CVE-2022-44022,N/A,PwnDoc through 0.5.3 might allow remote attackers to identify valid user account names by leveraging response timings for authentication attempts.,5.3,0.06%,2022-10-30,2024-05-02
CVE-2022-44020,N/A,"An issue was discovered in OpenStack Sushy-Tools through 0.21.0 and VirtualBMC through 2.2.2. Changing the boot device configuration with these packages removes password protection from the managed libvirt XML domain. NOTE: this only affects an ""unsupported, production-like configuration.""",5.5,0.02%,2022-10-30,2023-02-09
CVE-2022-44019,N/A,"In Total.js 4 before 0e5ace7, /api/common/ping can achieve remote command execution via shell metacharacters in the host parameter.",8.8,1.73%,2022-10-30,2022-11-01
CVE-2022-43776,N/A,The url parameter of the /api/geojson endpoint in Metabase versions <44.5 can be used to perform Server Side Request Forgery attacks. Previously implemented blacklists could be circumvented by leveraging 301 and 302 redirects.,6.5,0.07%,2022-10-26,2022-10-28
CVE-2022-43775,N/A,The HICT_Loop class in Delta Electronics DIAEnergy v1.9 contains a SQL Injection flaw that could allow an attacker to gain code execution on a remote system.,9.8,6.89%,2022-10-26,2022-10-28
CVE-2022-43774,N/A,The HandlerPageP_KID class in Delta Electronics DIAEnergy v1.9 contains a SQL Injection flaw that could allow an attacker to gain code execution on a remote system.,9.8,0.16%,2022-10-26,2022-10-28
CVE-2022-43766,N/A,"Apache IoTDB version 0.12.2 to 0.12.6, 0.13.0 to 0.13.2 are vulnerable to a Denial of Service attack when accepting untrusted patterns for REGEXP queries with Java 8. Users should upgrade to 0.13.3 which addresses this issue or use a later version of Java to avoid it.",7.5,0.33%,2022-10-26,2022-10-28
CVE-2022-43752,N/A,"Oracle Solaris version 10 1/13, when using the Common Desktop Environment (CDE), is vulnerable to a privilege escalation vulnerability. A low privileged user can escalate to root by crafting a malicious printer and double clicking on the the crafted printer's icon.",7.8,0.04%,2022-10-31,2024-08-03
CVE-2022-43750,N/A,drivers/usb/mon/mon_bin.c in usbmon in the Linux kernel before 5.19.15 and 6.x before 6.0.1 allows a user-space client to corrupt the monitor's internal memory.,6.7,0.05%,2022-10-26,2023-02-14
CVE-2022-43749,N/A,Improper privilege management vulnerability in summary report management in Synology Presto File Server before 2.1.2-1601 allows remote authenticated users to bypass security constraint via unspecified vectors.,8.8,0.08%,2022-10-26,2022-10-28
CVE-2022-43748,N/A,Improper limitation of a pathname to a restricted directory ('Path Traversal') vulnerability in file operation management in Synology Presto File Server before 2.1.2-1601 allows remote attackers to write arbitrary files via unspecified vectors.,7.5,0.14%,2022-10-26,2022-10-28
CVE-2022-43747,N/A,baramundi Management Agent (bMA) in baramundi Management Suite (bMS) 2021 R1 and R2 and 2022 R1 allows remote code execution. This is fixed in 2022 R2.,9.8,1.41%,2022-10-26,2022-12-06
CVE-2022-43680,N/A,"In libexpat through 2.4.9, there is a use-after free caused by overeager destruction of a shared DTD in XML_ExternalEntityParserCreate in out-of-memory situations.",7.5,0.24%,2022-10-24,2024-01-21
CVE-2022-43677,N/A,"In free5GC 3.2.1, a malformed NGAP message can crash the AMF and NGAP decoders via an index-out-of-range panic in aper.GetBitString.",5.5,0.02%,2022-10-24,2023-12-08
CVE-2022-43435,N/A,"Jenkins 360 FireLine Plugin 1.7.2 and earlier programmatically disables Content-Security-Policy protection for user-generated content in workspaces, archived artifacts, etc. that Jenkins offers for download.",5.3,0.11%,2022-10-19,2023-11-22
CVE-2022-43434,N/A,"Jenkins NeuVector Vulnerability Scanner Plugin 1.20 and earlier programmatically disables Content-Security-Policy protection for user-generated content in workspaces, archived artifacts, etc. that Jenkins offers for download.",5.3,0.11%,2022-10-19,2023-11-22
CVE-2022-43433,N/A,"Jenkins ScreenRecorder Plugin 0.7 and earlier programmatically disables Content-Security-Policy protection for user-generated content in workspaces, archived artifacts, etc. that Jenkins offers for download.",4.3,0.11%,2022-10-19,2023-11-22
CVE-2022-43432,N/A,"Jenkins XFramium Builder Plugin 1.0.22 and earlier programmatically disables Content-Security-Policy protection for user-generated content in workspaces, archived artifacts, etc. that Jenkins offers for download.",4.3,0.11%,2022-10-19,2023-11-22
CVE-2022-43431,N/A,"Jenkins Compuware Strobe Measurement Plugin 1.0.1 and earlier does not perform a permission check in an HTTP endpoint, allowing attackers with Overall/Read permission to enumerate credentials IDs of credentials stored in Jenkins.",4.3,0.07%,2022-10-19,2023-11-22
